name,group,default value,readonly,user_visible,notes,Range min,Range max,v2_user_visible (intent),v2_readonly (intent),changed_vs_v2
BATT3_LOW_MAH,BATT,0,True,True,,,,False,True,user_visible False->True
BATT3_LOW_SOC,BATT,30,False,True,"Low-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_LOW_ACT after BATT_LOW_TIMER. 0=disabled. Added in 5fab6c5e26; Seeded in defaults.parm.",,,,,NEW ROW
BATT3_LOW_TIMER,BATT,10,True,True,,,,False,True,user_visible False->True
BATT3_LOW_VOLT,BATT,19,False,True,,,,True,False,
BATT3_MONITOR,BATT,8,True,True,,,,False,True,user_visible False->True
BATT3_OPTIONS,BATT,128,True,True,,,,False,True,user_visible False->True
BATT3_SERIAL_NUM,BATT,2,True,True,,,,False,True,user_visible False->True
BATT4_MONITOR,BATT,0,True,True,,,,False,True,user_visible False->True
BATT5_MONITOR,BATT,0,True,True,,,,False,True,user_visible False->True
BATT6_MONITOR,BATT,0,True,True,,,,False,True,user_visible False->True
BATT7_MONITOR,BATT,0,True,True,,,,False,True,user_visible False->True
BATT8_MONITOR,BATT,0,True,True,,,,False,True,user_visible False->True
BATT9_MONITOR,BATT,0,True,True,,,,False,True,user_visible False->True
BATT_AMP_OFFSET,BATT,1.645,True,True,,,,False,True,user_visible False->True
BATT_AMP_PERVLT,BATT,41.6666,True,True,,,,False,True,user_visible False->True
BATT_ARM_MAH,BATT,0,True,True,,,,False,True,user_visible False->True
BATT_ARM_SOC,BATT,0,False,True,"Minimum SOC %% required to arm. 0=disabled. Not reset by reboot (uses the pack SOC estimate, unlike ARM_VOLT/ARM_MAH).",,,,,NEW ROW
BATT_ARM_VOLT,BATT,0,False,True,,,,True,False,
BATT_CAPACITY,BATT,20000,False,True,"HARD CLAMPED 8000..30000 - out-of-range PARAM_SET rejected, stored value scrubbed at boot",8000,30000,False,False,user_visible False->True
BATT_CRT_MAH,BATT,0,True,True,,,,False,True,user_visible False->True
BATT_CRT_SOC,BATT,0,False,True,"Critical-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_CRT_ACT after BATT_LOW_TIMER. 0=disabled. Must be < LOW_SOC or arming fails (soc failsafe critical >= low).",,,,,NEW ROW
BATT_CRT_VOLT,BATT,0,True,True,,,,False,True,user_visible False->True
BATT_CURR_PIN,BATT,15,True,True,,,,False,True,user_visible False->True
BATT_FS_CRT_ACT,BATT,0,True,True,,,,False,True,user_visible False->True
BATT_FS_LOW_ACT,BATT,0,True,True,,,,False,True,user_visible False->True
BATT_FS_VOLTSRC,BATT,0,True,True,,,,False,True,user_visible False->True
BATT_LOW_MAH,BATT,0,True,True,,,,False,True,user_visible False->True
BATT_LOW_SOC,BATT,0,False,True,"Low-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_LOW_ACT after BATT_LOW_TIMER. 0=disabled. Added in 5fab6c5e26; NOT seeded in defaults.parm so code default 0 applies.",,,,,NEW ROW
BATT_LOW_TIMER,BATT,10,True,True,,,,False,True,user_visible False->True
BATT_LOW_VOLT,BATT,0,True,True,,,,False,True,user_visible False->True
BATT_MONITOR,BATT,4,True,True,,,,False,True,user_visible False->True
BATT_OPTIONS,BATT,256,True,True,,,,False,True,user_visible False->True
BATT_SERIAL_NUM,BATT,1,True,True,,,,False,True,user_visible False->True
BATT_VLT_OFFSET,BATT,0,True,True,,,,False,True,user_visible False->True
BATT_VOLT_MULT,BATT,19,True,True,,,,False,True,user_visible False->True
BATT_VOLT_PIN,BATT,14,True,True,,,,False,True,user_visible False->True
BCN_TYPE,BCN,0,True,True,,,,False,True,user_visible False->True
BRD_ALT_CONFIG,BRD,0,True,True,,,,False,True,user_visible False->True
BRD_BOOT_DELAY,BRD,0,False,True,defaults.parm: # TEMP-COMPASS-EXPERIMENT unlocked,,,False,True,readonly True->False; user_visible False->True
BRD_HEAT_I,BRD,0.07,True,True,,,,False,True,user_visible False->True
BRD_HEAT_IMAX,BRD,70,True,True,,,,False,True,user_visible False->True
BRD_HEAT_LOWMGN,BRD,5,True,True,,,,False,True,user_visible False->True
BRD_HEAT_P,BRD,50,True,True,,,,False,True,user_visible False->True
BRD_HEAT_TARG,BRD,45,True,True,,,,False,True,user_visible False->True
BRD_IO_DSHOT,BRD,0,True,True,,,,False,True,user_visible False->True
BRD_IO_ENABLE,BRD,1,True,True,,,,False,True,user_visible False->True
BRD_OPTIONS,BRD,1,True,True,,,,False,True,user_visible False->True
BRD_PWM_VOLT_SEL,BRD,0,True,True,,,,False,True,user_visible False->True
BRD_RTC_TYPES,BRD,1,True,True,,,,False,True,user_visible False->True
BRD_RTC_TZ_MIN,BRD,0,True,True,,,,False,True,user_visible False->True
BRD_SAFETYOPTION,BRD,0,True,True,,,,False,True,user_visible False->True
BRD_SAFETY_DEFLT,BRD,0,True,True,,,,False,True,user_visible False->True
BRD_SAFETY_MASK,BRD,16368,True,True,,,,False,True,user_visible False->True
BRD_SBUS_OUT,BRD,0,False,True,,,,True,False,
BRD_SD_FENCE,BRD,0,True,True,,,,False,True,user_visible False->True
BRD_SD_MISSION,BRD,0,True,True,,,,False,True,user_visible False->True
BRD_SD_SLOWDOWN,BRD,0,True,True,,,,False,True,user_visible False->True
BRD_SER1_RTSCTS,BRD,2,True,True,,,,False,True,user_visible False->True
BRD_SER2_RTSCTS,BRD,2,True,True,,,,False,True,user_visible False->True
BRD_SERIAL_NUM,BRD,0,True,True,,,,False,True,user_visible False->True
BRD_TYPE,BRD,3,True,True,,,,False,True,user_visible False->True
BRD_VBUS_MIN,BRD,4.3,True,True,,,,False,True,user_visible False->True
BRD_VSERVO_MIN,BRD,0,True,True,,,,False,True,user_visible False->True
BTN_ENABLE,BTN,0,True,True,,,,False,True,user_visible False->True
CAM1_DURATION,CAM,0.1,False,True,,,,False,False,user_visible False->True
CAM1_FEEDBAK_PIN,CAM,-1,True,True,,,,False,True,user_visible False->True
CAM1_FEEDBAK_POL,CAM,1,True,True,,,,False,True,user_visible False->True
CAM1_HFOV,CAM,0,True,True,,,,False,True,user_visible False->True
CAM1_INTRVAL_MIN,CAM,0,True,True,,,,False,True,user_visible False->True
CAM1_MNT_INST,CAM,0,True,True,,,,False,True,user_visible False->True
CAM1_OPTIONS,CAM,0,False,True,,,,True,False,
CAM1_RELAY_ON,CAM,1,True,True,,,,False,True,user_visible False->True
CAM1_SERVO_OFF,CAM,1100,True,True,,,,False,True,user_visible False->True
CAM1_SERVO_ON,CAM,1300,True,True,,,,False,True,user_visible False->True
CAM1_TRIGG_DIST,CAM,0,False,True,,,,False,False,user_visible False->True
CAM1_TYPE,CAM,5,False,True,,,,False,False,user_visible False->True
CAM1_VFOV,CAM,0,True,True,,,,False,True,user_visible False->True
CAM2_TYPE,CAM,0,True,True,,,,False,True,user_visible False->True
CAM_AUTO_ONLY,CAM,1,True,True,,,,False,True,user_visible False->True
CAM_MAX_ROLL,CAM,0,True,True,,,,False,True,user_visible False->True
CAM_RC_TYPE,CAM,0,True,True,,,,False,True,user_visible False->True
CAN_D1_PROTOCOL,CAN,1,True,True,,,,False,True,user_visible False->True
CAN_D1_PROTOCOL2,CAN,0,True,True,,,,False,True,user_visible False->True
CAN_D1_UC_ESC_BM,CAN,15,True,True,,,,False,True,user_visible False->True
CAN_D1_UC_ESC_OF,CAN,0,True,True,,,,False,True,user_visible False->True
CAN_D1_UC_ESC_RV,CAN,0,True,True,,,,False,True,user_visible False->True
CAN_D1_UC_NODE,CAN,10,True,True,,,,False,True,user_visible False->True
CAN_D1_UC_NTF_RT,CAN,20,True,True,,,,False,True,user_visible False->True
CAN_D1_UC_OPTION,CAN,2,False,True,,,,True,False,
CAN_D1_UC_POOL,CAN,16384,True,True,,,,False,True,user_visible False->True
CAN_D1_UC_RLY_RT,CAN,0,True,True,,,,False,True,user_visible False->True
CAN_D1_UC_SER_EN,CAN,0,True,True,,,,False,True,user_visible False->True
CAN_D1_UC_SRV_BM,CAN,0,True,True,,,,False,True,user_visible False->True
CAN_D1_UC_SRV_RT,CAN,50,True,True,,,,False,True,user_visible False->True
CAN_D2_PROTOCOL,CAN,1,True,True,,,,False,True,user_visible False->True
CAN_D2_PROTOCOL2,CAN,0,True,True,,,,False,True,user_visible False->True
CAN_LOGLEVEL,CAN,3,False,True,,,,False,False,user_visible False->True
CAN_P1_BITRATE,CAN,1000000,True,True,,,,False,True,user_visible False->True
CAN_P1_DRIVER,CAN,1,True,True,,,,False,True,user_visible False->True
CAN_P1_FDBITRATE,CAN,8,True,True,,,,False,True,user_visible False->True
CAN_P1_OPTIONS,CAN,0,True,True,,,,False,True,user_visible False->True
CAN_P2_BITRATE,CAN,1000000,True,True,,,,False,True,user_visible False->True
CAN_P2_DRIVER,CAN,1,True,True,,,,False,True,user_visible False->True
CAN_P2_FDBITRATE,CAN,8,True,True,,,,False,True,user_visible False->True
CAN_P2_OPTIONS,CAN,0,True,True,,,,False,True,user_visible False->True
CAN_SLCAN_CPORT,CAN,1,True,True,,,,False,True,user_visible False->True
CAN_SLCAN_SDELAY,CAN,1,True,True,,,,False,True,user_visible False->True
CAN_SLCAN_SERNUM,CAN,-1,True,True,,,,False,True,user_visible False->True
CAN_SLCAN_TIMOUT,CAN,2,True,True,,,,False,True,user_visible False->True
CHUTE_ENABLED,CHUTE,0,True,False,"hidden (GOBJECT_HIDDEN group ""CHUTE_"")",,,False,True,
CIRCLE_OPTIONS,CIRCLE,1,True,False,"hidden (GOBJECT_HIDDEN group ""CIRCLE_"")",,,False,True,
CIRCLE_RADIUS,CIRCLE,1000,True,False,"hidden (GOBJECT_HIDDEN group ""CIRCLE_"")",,,False,True,
CIRCLE_RATE,CIRCLE,20,True,False,"hidden (GOBJECT_HIDDEN group ""CIRCLE_"")",,,False,True,
COMPASS_AUTODEC,COMPASS,1,False,True,defaults.parm: # TEMP-COMPASS-EXPERIMENT unlocked,,,False,True,readonly True->False; user_visible False->True
COMPASS_AUTO_ROT,COMPASS,2,False,True,defaults.parm: # TEMP-COMPASS-EXPERIMENT unlocked,,,False,True,readonly True->False; user_visible False->True
COMPASS_CAL_FIT,COMPASS,16,False,True,,,,False,True,readonly True->False; user_visible False->True
COMPASS_DEC,COMPASS,0,True,True,,,,False,True,user_visible False->True
COMPASS_DEV_ID,COMPASS,96515,False,True,defaults.parm: # TEMP-COMPASS-EXPERIMENT unlocked,,,False,True,readonly True->False; user_visible False->True
COMPASS_DEV_ID2,COMPASS,162051,False,True,defaults.parm: # TEMP-COMPASS-EXPERIMENT unlocked,,,False,True,readonly True->False; user_visible False->True
COMPASS_DEV_ID3,COMPASS,1313809,False,True,defaults.parm: # TEMP-COMPASS-EXPERIMENT unlocked,,,False,True,readonly True->False; user_visible False->True
